criteria,description,value
challenge,clearly state hypothesis or research challenge,5
evidence,summarize what is known from your synthesis work in project 1 - ie evidence and formal but brief scoping systematic review,5
gaps,list the gaps and explain next steps,5
implication,given the relative difference between known and next highlight an implication for researchers to consider in this field ,5
citations,"recent citations, a few concept papers, and a few sample primary studies",5
